Arquivo,Classe,Liver,Kidney,Altura,Comprimento,Hi,Hu,Homogeneidade,Entropia
ROI_0_0,saudavel,"(250, 125)","(215, 195)",28,28,0.9833144582861456,"[0.0013251979236060401, 5.155960448639851e-10, 1.950073426786453e-12, 7.574125375761412e-13, -8.776584267137545e-25, -1.4688377329769105e-17, 2.775564636439113e-25]","[0.5185351328274772, 0.019357831070202593, 0.27797556855388733, 0.019357832993751923]","[7.18412065993001, 8.108034759332316, 6.440281817616351, 8.106671633873205]"
ROI_0_1,saudavel,"(249, 131)","(216, 196)",28,28,0.9601019304561685,"[0.0012452606443349422, 1.6369370044784248e-10, 1.857282470078987e-12, 1.267545112826168e-12, 1.3207365282934533e-24, -1.6068390121107284e-17, 1.427607024974211e-24]","[0.5185372893965625, 0.01865613256466975, 0.2769575496427617, 0.018656129691710016]","[7.375155544866802, 8.210871366891613, 6.459150418815414, 8.210008279809186]"
ROI_0_2,saudavel,"(258, 153)","(220, 199)",28,28,1.0350390156062426,"[0.0012640150138528102, 1.0556000340149115e-10, 3.338650163437515e-13, 9.294532732716263e-15, -4.877060949692118e-28, -9.303612459679072e-21, -1.7382775402043843e-28]","[0.5185367741122758, 0.023169720349553634, 0.2834869140340833, 0.023169735224176376]","[6.9634954256932655, 8.00413592864694, 6.43534089500589, 8.008024007314472]"
ROI_0_3,saudavel,"(255, 137)","(223, 200)",28,28,1.013201823254112,"[0.001281637624325872, 3.910784115875461e-10, 1.481680652239242e-13, 4.568593778678304e-13, -6.600331102486237e-26, 5.3241027431528605e-18, -9.885476305799587e-26]","[0.5185360259981598, 0.023382596243782177, 0.28379593686181964, 0.023382595287087474]","[7.180418217005998, 8.11344514450187, 6.448218325552863, 8.114091877837962]"
ROI_0_4,saudavel,"(255, 153)","(224, 205)",28,28,1.0318665326391911,"[0.0012823570680869337, 1.1299372310739592e-10, 4.8025590336812e-13, 1.1625521007006765e-13, 2.5630229132928836e-26, -7.458602576149789e-19, -9.883294827656008e-27]","[0.5185365216451048, 0.022740841420598, 0.28286690317554963, 0.02274085738861122]","[7.240283815341367, 8.129817737255834, 6.419467879132876, 8.126945985434308]"
ROI_0_5,saudavel,"(260, 154)","(228, 202)",28,28,1.0624586217273548,"[0.0012393949799149944, 3.561432344836361e-11, 6.619337208498609e-13, 1.9033354484243696e-13, 6.353548385504435e-26, -1.0449837862238761e-18, -2.29651617179189e-26]","[0.5185379756924291, 0.03487934902786798, 0.30042243329233803, 0.03487937323192259]","[7.186480554340389, 8.096751408867044, 6.427404387069382, 8.100928886998208]"
ROI_0_6,saudavel,"(261, 142)","(222, 197)",28,28,0.9736964618249534,"[0.001350154292476682, 1.850034856360767e-10, 4.299151593020116e-13, 3.4875511768425545e-14, -3.1136469640917855e-27, -4.734706898044418e-19, 2.9226409394226868e-27]","[0.5185347352263574, 0.03867397468342457, 0.3059157577516841, 0.0386739707366331]","[6.971957422520898, 8.010782911661204, 6.443277402942397, 8.0081008170409]"
ROI_0_7,saudavel,"(271, 151)","(224, 198)",28,28,1.039657740268084,"[0.0012578029728186318, 2.9771991014312716e-10, 5.955370203645214e-13, 7.005824751320035e-13, 3.7537876301110324e-25, -5.828113713866175e-18, 2.5272579683174713e-25]","[0.5185376007985955, 0.027387461446102726, 0.2895862318034549, 0.027387477191434376]","[7.292054453396569, 8.156227967873168, 6.443277402942397, 8.154577393774579]"
ROI_0_8,saudavel,"(275, 168)","(218, 197)",28,28,1.0374740553296748,"[0.0012478477268642045, 1.7026073123054995e-10, 4.0434434529662787e-13, 3.4190054806137536e-13, -1.020539634960291e-26, 4.453612594502923e-18, 1.2671306157336874e-25]","[0.5185375095576937, 0.03174201104857496, 0.2958851903819004, 0.03174202087299623]","[6.980621005373578, 7.997463973465666, 6.419467879132872, 8.001693135913012]"
ROI_0_9,saudavel,"(297, 190)","(218, 195)",28,28,1.0892367441929411,"[0.0012174739565284, 2.0033497543248857e-10, 7.560046838689714e-13, 2.4789792905361873e-13, 1.0627278083844748e-25, 1.7056145023154672e-18, 1.4939786919060107e-26]","[0.5185389442510485, 0.016043889618352476, 0.2731766789456795, 0.016043881415316655]","[7.193611416264982, 8.124058209966197, 6.459150418815416, 8.12549220387239]"
