Arquivo,Classe,Liver,Kidney,Altura,Comprimento,Hi,Hu,Homogeneidade,Entropia
ROI_0_0,saudavel,"(276, 176)","(228, 204)",28,28,1.1070944082527094,"[0.0011627442987942847, 3.9254760995586754e-10, 2.0509355829079663e-15, 6.678494477899003e-14, -5.9420405302050685e-28, 3.601777569983745e-19, 5.077856957894382e-28]","[0.518540612914116, 0.018756855225130643, 0.2770985801113268, 0.018756876822965445, 0.309547080986889, 0.018756855225130643, 0.272031499900719, 0.018756876822965445, 0.38095344462224767, 0.017514451898268085, 0.3096200346696066, 0.031144716125087003, 0.30317031051143584, 0.03016548691368576, 0.297155607532855, 0.034209247654570285]","[6.958381414741477, 7.9593773204111145, 6.384726262060796, 7.964026930713682, 7.832527573393278, 7.9593773204111145, 6.376190038674088, 7.964026930713682, 6.284087620114632, 7.795860191304895, 6.284087620114632, 7.779436731294512, 6.104668958596429, 7.96002252359207, 6.104668958596429, 7.976791207435638]"
ROI_0_1,saudavel,"(264, 160)","(224, 201)",28,28,1.0461173279077653,"[0.0012214119006423762, 1.0354963899020272e-10, 1.0465803309320789e-13, 4.4219242061230333e-13, -8.822196300796295e-26, -4.47819747747258e-18, -3.55809978687108e-26]","[0.518537871778333, 0.012595319559069045, 0.2681900548993002, 0.01259531637818678, 0.29900096471376125, 0.012595319559069045, 0.2727236143201399, 0.01259531637818678, 0.3466878180678503, 0.0193025568216846, 0.3367568027044945, 0.016194226806633218, 0.3055124278684287, 0.03154335385098909, 0.2861441454964635, 0.03326257420526278]","[7.247152220358294, 8.14193445541328, 6.451213910878906, 8.140191047941675, 8.07174797927422, 8.14193445541328, 6.400915313399365, 8.140191047941675, 6.275159048686059, 7.911002886111141, 6.328730477257489, 7.913114667202449, 6.136811815739287, 8.211049820955106, 6.136811815739287, 8.161276997913472]"
ROI_0_2,saudavel,"(270, 162)","(220, 199)",28,28,1.0851290516206482,"[0.0012176517024893082, 9.418549734591842e-11, 7.622865494846606e-13, 6.594632487057573e-13, 8.718760712366477e-26, 6.004874876017712e-18, -4.593673929013263e-25]","[0.5185384351381778, 0.033372652694478276, 0.2982424871835659, 0.03337268804465123, 0.3033754488524297, 0.033372652694478276, 0.30569570388008094, 0.03337268804465123, 0.36090299017904703, 0.026132464082447415, 0.3060627975740615, 0.02425761268549708, 0.3126502655447264, 0.03739679092083129, 0.2718320900662427, 0.03999612678915011]","[6.943901470430158, 7.982914378704768, 6.435340895005892, 7.984963435732644, 7.826407520284078, 7.982914378704768, 6.392673555157605, 7.984963435732644, 6.2271461580514025, 7.79723472596876, 6.280717586622831, 7.795922751332586, 6.072526101453572, 7.97194899117728, 6.126097530025, 7.994908713083555]"
ROI_0_3,saudavel,"(253, 144)","(220, 198)",28,28,0.9992841367755693,"[0.0013476555079830897, 1.401010568933068e-11, 1.4633956852185926e-14, 1.2379253687713774e-13, 5.041480209865357e-27, 4.307000207974522e-19, 1.531378436966614e-27]","[0.5185348720849754, 0.013959573316960808, 0.2701677979694097, 0.013959578659040751, 0.29492608009760124, 0.013959573316960808, 0.2875664392509296, 0.013959578659040751, 0.33345456703041243, 0.016906665083320845, 0.3094311603548547, 0.014610112839035506, 0.3129027875772573, 0.023616263325586258, 0.2713323703958826, 0.02297023204188294]","[7.247984701260759, 8.110115260128548, 6.411531371196366, 8.104640777762125, 8.08895055365232, 8.110115260128548, 6.41739882988288, 8.104640777762125, 6.3108733344003465, 7.927059927178218, 6.3019447629717735, 7.919227555483915, 6.147526101453573, 8.165302487380565, 6.115383244310715, 8.14464699970011]"
ROI_0_4,saudavel,"(281, 191)","(214, 194)",28,28,1.1413847083804771,"[0.0011992464952385448, 6.749866141040855e-10, 5.57878635071131e-13, 1.0882087618185368e-12, 8.476439357443638e-25, -4.043226052383889e-19, -2.0318396437736904e-26]","[0.5185395606868197, 0.023780702058420557, 0.28436650379068723, 0.02378071540382455, 0.2970854446286948, 0.023780702058420557, 0.2924798426340685, 0.02378071540382455, 0.3404566777252421, 0.021660480507964857, 0.32524000111494206, 0.02222738237553754, 0.29888310704610643, 0.02094804432286378, 0.28643656834630266, 0.021935430727774485]","[7.149849604239831, 8.102601652468778, 6.459150418815414, 8.099061202385231, 8.007757915320207, 8.102601652468778, 6.348353963802537, 8.099061202385231, 6.26623047725749, 7.909910540988872, 6.307503300908544, 7.895173991111798, 6.079196346977696, 8.140409507272748, 6.104668958596429, 8.156218359451264]"
ROI_0_5,saudavel,"(263, 156)","(231, 208)",28,28,1.0622790522752914,"[0.0012539286460800322, 1.2324422630927097e-10, 1.5434158723821153e-13, 5.752054557904397e-14, 3.621623530669485e-27, -4.076392760917293e-19, -4.032008141651161e-27]","[0.5185378573513665, 0.024200966656239286, 0.28497701756746935, 0.02420100504927865, 0.30358976934773496, 0.024200966656239286, 0.27313619876598133, 0.02420100504927865, 0.3616014818192767, 0.030050026976653873, 0.30578540070697413, 0.017431204850156486, 0.31206142277737386, 0.007414403773339742, 0.28277636835840914, 0.018706430693477036]","[7.17985443348392, 8.10797164534955, 6.440281817616351, 8.110605967223384, 8.011485454566037, 8.10797164534955, 6.384431796915847, 8.110605967223384, 6.3019447629717735, 7.920366241690149, 6.301944762971774, 7.907985219348265, 6.158240387167857, 8.130977739339064, 6.147526101453573, 8.111642519429372]"
ROI_0_6,saudavel,"(262, 142)","(230, 205)",28,28,1.0170214052485185,"[0.0013193027596999718, 1.250706901341221e-10, 8.308735293532081e-13, 6.0414383880631044e-15, -1.8249648483092198e-28, -5.72867389972896e-20, 3.8717941836964527e-28]","[0.518535512428057, 0.03164751437238473, 0.2957513556119107, 0.03164750778626889, 0.29626625805688966, 0.03164751437238473, 0.29875809486006943, 0.03164750778626889, 0.33780798424019964, 0.030079515088268553, 0.3237287682535216, 0.021889445356945342, 0.29608366865233016, 0.023967616807302482, 0.2901387390976692, 0.02480966557382374]","[7.0541861227528315, 8.049777260988208, 6.443277402942397, 8.0470470196148, 7.918508320547692, 8.049777260988208, 6.409157071641121, 8.0470470196148, 6.2483733344003465, 7.8565583121134805, 6.310873334400345, 7.8615807980569725, 6.093954672882143, 8.064383202557602, 6.093954672882143, 8.060818081946964]"
ROI_0_7,saudavel,"(287, 190)","(220, 199)",28,28,1.0726494490557308,"[0.0011895660478482607, 2.6599956799294e-10, 2.2582565647274564e-13, 4.075543639553327e-14, 3.868218493836266e-27, -2.841229361843973e-20, 5.693463669562784e-28]","[0.5185398447981819, 0.0373198129503146, 0.3039497229198836, 0.037319824736050174, 0.31950450560138804, 0.0373198129503146, 0.2862056624207784, 0.037319824736050174, 0.4133176670106474, 0.019620092936791806, 0.31245362997095066, 0.043522867529187395, 0.3559208423076545, 0.030324609258228975, 0.28923981400086163, 0.02436948471452127]","[6.838978462077259, 7.927576020711656, 6.424408801743339, 7.925050569642596, 7.652927538290844, 7.927576020711656, 6.364837480286052, 7.925050569642596, 6.076916316737103, 7.715264474191801, 6.2896461580514025, 7.686712610975935, 6.061811815739287, 7.921858673338273, 6.093954672882145, 7.900486272800126]"
ROI_0_8,saudavel,"(290, 190)","(215, 195)",28,28,1.0724365819168278,"[0.0012026937595849441, 4.32703726740986e-10, 3.562896118359145e-13, 1.2390295797929066e-13, -1.9912372679010345e-26, -4.390781114788793e-19, 1.6769439717640626e-26]","[0.5185396777375356, 0.02572542925255322, 0.28717938340798127, 0.025725432638625846, 0.3141568605902962, 0.02572542925255322, 0.27620115185961924, 0.025725432638625846, 0.39593838455427965, 0.018132578449151157, 0.30126309841535104, 0.016215445803743494, 0.3177793169854164, 0.016356490782504438, 0.2786547344807006, 0.025427421264256705]","[7.10013194168939, 8.059404096075546, 6.419467879132873, 8.060289374529962, 7.900587113639377, 8.059404096075546, 6.384431796915847, 8.060289374529962, 6.21821758662283, 7.871566171108338, 6.328730477257489, 7.87829706086117, 6.083240387167858, 8.069666640081403, 6.104668958596429, 8.115309053706213]"
ROI_0_9,saudavel,"(295, 190)","(218, 197)",28,28,1.0797879332252553,"[0.0012217921826486872, 5.4267001596330205e-11, 4.3978982644583435e-13, 6.656367262886601e-13, 3.0786922460723747e-25, 1.2705468931909568e-19, 1.8687329064148843e-25]","[0.5185388391499334, 0.019324239672274448, 0.2779216921235441, 0.01932424158859177, 0.30471098528830376, 0.019324239672274448, 0.2973411242987458, 0.01932424158859177, 0.365242120055962, 0.02129965604563399, 0.29755963423216036, 0.022201710077451902, 0.2871481340314762, 0.028004653050518667, 0.2869236033678092, 0.027382577017210624]","[7.151398634929424, 8.102167735315943, 6.459150418815414, 8.1029734232489, 7.977153334785951, 8.102167735315943, 6.384431796915847, 8.1029734232489, 6.28408762011463, 7.899422290489762, 6.293016191543202, 7.890859005492567, 6.136811815739287, 8.115135803625414, 6.115383244310715, 8.127705406848415]"
